id,sentence,target
0,"  it 's a tour de force , written and directed so quietly that it 's rather than explosion you fear",+
1,"  places a slightly believable love triangle in a difficult to swallow setting , and then disappointingly moves the story into the realm of an improbable thriller",-
2,"  for those of an indulgent , slightly and mind , sex and may well prove diverting enough",+
3,  exactly what you 'd expect from a guy named,-
4,"  unfortunately , it appears that jackie chan 's us influence is starting to show in his hong kong films",+
5,"  eastwood , his chest and for breath it 's a spectacular performance , we hope it 's only acting",-
6,  a not so divine secrets of the ya ya sisterhood with a hefty of re green,-
7,  stage director sam mendes showcases tom hanks as a depression era hit man in this dark tale of revenge,+
8,  it 's not difficult to spot the early on in this predictable thriller,-
9,  the minor figures surrounding form a gritty urban,+
10,  cool ? this movie is a snow,+
11,  extremely bad,-
12,"  while obviously an extremely personal work , it remains stuck in an emotionally rut",-
13,  every sequel you skip will be two hours gained consider this review life affirming,-
14,"  these three films form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people",+
15,  viewers of barney 's self indulgent spectacle will see nothing in it to match the ordeal of sitting through it,-
16,"  each punch seen through prison , the fights become not so much a struggle of man vs man as brother man vs the man",+
17,  i this work a lot,+
18,"  expect no major , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women",+
19,  the sinister inspiration that devito 's early work is confused in death to smoochy into something both ugly and mindless,-
20,"  it 's somewhat clumsy and too paced but its story about a mysterious creature with psychic abilities offers a solid build up , a terrific climax , and some nice chills along the way",+
21,"  it 's better than the menace but unless you 're an absolute star wars , it is n't much fun",-
22,  one of herzog 's least inspired works,+
23,"  an unimaginative , nasty , cynical piece of work",-
24,"  the most remarkable ( and frustrating ) thing about world traveler , which opens today in manhattan , is that its protagonist , after being an object of intense for minutes , remains a complete blank",-
25,"  though catch me if you can is n't badly made , the fun slowly leaks out of the movie",-
26,  beautifully produced,+
27,"  it 's not without its pleasures , but i 'll stick with the",-
28,"  my big fat greek wedding is not only the best date movie of the year , it 's also a dare i say it twice delightfully charming and totally american , i might add slice of comedic",+
29,  it 's refreshing to see a romance this smart,+
30,"  even if you ca n't pronounce , you 'll appreciate much of vardalos ' humor , which transcends ethnic",+
31,  you wonder why enough was n't just a music video rather than a full length movie,-
32,"  though it 's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and literal , the film you in",+
33,  a science fiction pastiche so lacking in originality that if you stripped away its there would be precious little left,-
34,"  austin powers for the most part is extremely funny , the first part making up for any flaws that come later",+
35,  by turns numbingly dull witted and creepy,-
